Security,GICS Sub-Industry,Headquarters Location
Paychex,Human Resource & Employment Services,"Penfield, New York"
Paycom,Human Resource & Employment Services,"Oklahoma City, Oklahoma"
PayPal,Transaction & Payment Processing Services,"San Jose, California"
Pentair,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom"
PepsiCo,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York"
Pfizer,Pharmaceuticals,"New York City, New York"
PG&E Corporation,Multi-Utilities,"San Francisco, California"
Philip Morris International,Tobacco,"New York City, New York"
Phillips 66,Oil & Gas Refining & Marketing,"Houston, Texas"
Pinnacle West,Multi-Utilities,"Phoenix, Arizona"
PNC Financial Services,Regional Banks,"Pittsburgh, Pennsylvania"
Pool Corporation,Distributors,"Covington, Louisiana"
PPG Industries,Specialty Chemicals,"Pittsburgh, Pennsylvania"
PPL Corporation,Electric Utilities,"Allentown, Pennsylvania"
Principal Financial Group,Life & Health Insurance,"Des Moines, Iowa"
Procter & Gamble,Personal Care Products,"Cincinnati, Ohio"
Progressive Corporation,Property & Casualty Insurance,"Mayfield Village, Ohio"
Prologis,Industrial REITs,"San Francisco, California"
Prudential Financial,Life & Health Insurance,"Newark, New Jersey"
Public Service Enterprise Group,Electric Utilities,"Newark, New Jersey"
PTC,Application Software,"Boston, Massachusetts"
Public Storage,Self-Storage REITs,"Glendale, California"
PulteGroup,Homebuilding,"Atlanta, Georgia"
Qorvo,Semiconductors,"Greensboro, North Carolina"
Quanta Services,Construction & Engineering,"Houston, Texas"
Qualcomm,Semiconductors,"San Diego, California"
Quest Diagnostics,Health Care Services,"Secaucus, New Jersey"
Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods","New York City, New York"
Raymond James,Investment Banking & Brokerage,"St. Petersburg, Florida"
RTX Corporation,Aerospace & Defense,"Waltham, Massachusetts"
Realty Income,Retail REITs,"San Diego, California"
Regency Centers,Retail REITs,"Jacksonville, Florida"
Regeneron,Biotechnology,"Tarrytown, New York"
