Security,GICS Sub-Industry,Headquarters Location,hiring_software_engineers
Lululemon Athletica,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",False
LyondellBasell,Specialty Chemicals,"Rotterdam, Netherlands",False
M&T Bank,Regional Banks,"Buffalo, New York",False
Marathon Oil,Oil & Gas Exploration & Production,"Houston, Texas",False
Marathon Petroleum,Oil & Gas Refining & Marketing,"Findlay, Ohio",False
MarketAxess,Financial Exchanges & Data,"New York City, New York",False
Marriott International,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",False
Marsh McLennan,Insurance Brokers,"New York City, New York",False
Martin Marietta Materials,Construction Materials,"Raleigh, North Carolina",False
Masco,Building Products,"Livonia, Michigan",False
Mastercard,Transaction & Payment Processing Services,"Harrison, New York",False
Match Group,Interactive Media & Services,"Dallas, Texas",False
McCormick & Company,Packaged Foods & Meats,"Hunt Valley, Maryland",False
McDonald's,Restaurants,"Chicago, Illinois",False
McKesson Corporation,Health Care Distributors,"Irving, Texas",False
Medtronic,Health Care Equipment,"Dublin, Ireland",False
Merck & Co.,Pharmaceuticals,"Kenilworth, New Jersey",False
Meta Platforms,Interactive Media & Services,"Menlo Park, California",False
MetLife,Life & Health Insurance,"New York City, New York",False
Mettler Toledo,Life Sciences Tools & Services,"Columbus, Ohio",False
MGM Resorts,Casinos & Gaming,"Paradise, Nevada",False
Microchip Technology,Semiconductors,"Chandler, Arizona",False
Micron Technology,Semiconductors,"Boise, Idaho",False
Moderna,Biotechnology,"Cambridge, Massachusetts",False
Mohawk Industries,Home Furnishings,"Calhoun, Georgia",False
Molina Healthcare,Managed Health Care,"Long Beach, California",False
Molson Coors Beverage Company,Brewers,"Chicago, Illinois",False
Mondelez International,Packaged Foods & Meats,"Chicago, Illinois",False
Monolithic Power Systems,Semiconductors,"Kirkland, Washington",False
Monster Beverage,Soft Drinks & Non-alcoholic Beverages,"Corona, California",False
Moody's Corporation,Financial Exchanges & Data,"New York City, New York",False
Morgan Stanley,Investment Banking & Brokerage,"New York City, New York",False
Mosaic Company (The),Fertilizers & Agricultural Chemicals,"Tampa, Florida",False
Motorola Solutions,Communications Equipment,"Chicago, Illinois",False
MSCI,Financial Exchanges & Data,"New York City, New York",False
"Nasdaq, Inc.",Financial Exchanges & Data,"New York City, New York",False
Netflix,Movies & Entertainment,"Los Gatos, California",False
Newmont,Gold,"Denver, Colorado",False
News Corp (Class A),Publishing,"New York City, New York",False
News Corp (Class B),Publishing,"New York City, New York",False
NextEra Energy,Multi-Utilities,"Juno Beach, Florida",False
"Nike, Inc.","Apparel, Accessories & Luxury Goods","Washington County, Oregon",False
NiSource,Multi-Utilities,"Merrillville, Indiana",False
Nordson Corporation,Industrial Machinery & Supplies & Components,"Westlake, Ohio",False
Norfolk Southern Railway,Rail Transportation,"Atlanta, Georgia",False
Northern Trust,Asset Management & Custody Banks,"Chicago, Illinois",False
Northrop Grumman,Aerospace & Defense,"West Falls Church, Virginia",False
Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines","Miami, Florida",False
NRG Energy,Independent Power Producers & Energy Traders,"Houston, Texas",False
Nucor,Steel,"Charlotte, North Carolina",False
Nvidia,Semiconductors,"Santa Clara, California",False
"NVR, Inc.",Homebuilding,"Reston, Virginia",False
NXP Semiconductors,Semiconductors,"Eindhoven, Netherlands",False
O'Reilly Auto Parts,Automotive Retail,"Springfield, Missouri",False
Occidental Petroleum,Oil & Gas Exploration & Production,"Houston, Texas",False
Old Dominion,Cargo Ground Transportation,"Thomasville, North Carolina",False
Omnicom Group,Advertising,"New York City, New York",False
ON Semiconductor,Semiconductors,"Phoenix, Arizona",False
ONEOK,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",False
Otis Worldwide,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",False
Paccar,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",False
Packaging Corporation of America,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",False
Paramount Global,Movies & Entertainment,"New York City, New York",False
Parker Hannifin,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",False
Paychex,Human Resource & Employment Services,"Penfield, New York",False
Paycom,Human Resource & Employment Services,"Oklahoma City, Oklahoma",False
PayPal,Transaction & Payment Processing Services,"San Jose, California",False
Pentair,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",False
PepsiCo,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",False
Pfizer,Pharmaceuticals,"New York City, New York",False
PG&E Corporation,Multi-Utilities,"San Francisco, California",False
Philip Morris International,Tobacco,"New York City, New York",False
Phillips 66,Oil & Gas Refining & Marketing,"Houston, Texas",False
Pinnacle West,Multi-Utilities,"Phoenix, Arizona",False
PNC Financial Services,Regional Banks,"Pittsburgh, Pennsylvania",False
Pool Corporation,Distributors,"Covington, Louisiana",False
PPG Industries,Specialty Chemicals,"Pittsburgh, Pennsylvania",False
PPL Corporation,Electric Utilities,"Allentown, Pennsylvania",False
Principal Financial Group,Life & Health Insurance,"Des Moines, Iowa",False
Procter & Gamble,Personal Care Products,"Cincinnati, Ohio",False
Progressive Corporation,Property & Casualty Insurance,"Mayfield Village, Ohio",False
Prudential Financial,Life & Health Insurance,"Newark, New Jersey",False
Public Service Enterprise Group,Electric Utilities,"Newark, New Jersey",False
PulteGroup,Homebuilding,"Atlanta, Georgia",False
Qorvo,Semiconductors,"Greensboro, North Carolina",False
Quanta Services,Construction & Engineering,"Houston, Texas",False
Qualcomm,Semiconductors,"San Diego, California",False
Quest Diagnostics,Health Care Services,"Secaucus, New Jersey",False
Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods","New York City, New York",False
Raymond James,Investment Banking & Brokerage,"St. Petersburg, Florida",False
RTX Corporation,Aerospace & Defense,"Waltham, Massachusetts",False
Regeneron,Biotechnology,"Tarrytown, New York",False
Regions Financial Corporation,Regional Banks,"Birmingham, Alabama",False
Republic Services,Environmental & Facilities Services,"Phoenix, Arizona",False
ResMed,Health Care Equipment,"San Diego, California",False
Revvity,Health Care Equipment,"Waltham, Massachusetts",False
Robert Half,Human Resource & Employment Services,"Menlo Park, California",False
Rockwell Automation,Electrical Components & Equipment,"Milwaukee, Wisconsin",False
"Rollins, Inc.",Environmental & Facilities Services,"Atlanta, Georgia",False
Ross Stores,Apparel Retail,"Dublin, California",False
Royal Caribbean Group,"Hotels, Resorts & Cruise Lines","Miami, Florida",False
S&P Global,Financial Exchanges & Data,"New York City, New York",False
Schlumberger,Oil & Gas Equipment & Services,"Houston, Texas",False
Sempra Energy,Multi-Utilities,"San Diego, California",False
Sherwin-Williams,Specialty Chemicals,"Cleveland, Ohio",False
Skyworks Solutions,Semiconductors,"Irvine, California",False
J.M. Smucker Company (The),Packaged Foods & Meats,"Orrville, Ohio",False
Snap-on,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",False
Solventum,Health Care Technology,"Saint Paul, Minnesota",False
